id,context,question,answer_label_idx,label_A,label_B,label_C,label_D
12-292,tuna eat fish,Which would likeliest eat a sardine?,3,a plant,a tree,a canary,a tunafish
12-293,polar bears live in cold environments,Where would a polar bear enjoy living,3,in a small cage,in a reef in the ocean,in a tropical environment,much closer to one of the earth's poles than to the equator
12-294,the arctic environment is covered in snow,If you wanted to see snow year round you would go to the,1,new zealand,arctic,hawaii,beach
12-295,the surface of the Moon contains mountains,Where could you most likely jump to the top of a mountain?,1,near the equator,on the moon,near the sea,in a laboratory
12-296,a plant requires photosynthesis to grow,What requires photosynthesis to grow?,1,sunlight,local flora,power plants,plant toys
12-297,eating food that contains pesticides can have a negative impact on humans,"In order for crops to grow food safely pesticides are used on them. When it floods, this can cause what to be poisonous?",2,Corn,air,Runoff,farmers
12-298,"when an electrical circuit is working properly , electrical current runs through the wires in that circuit",An example of an electrical circuit running properly would be,0,dimming lights,swimming in pools,running outside,riding bikes
12-299,An example of camouflage is when something has the same color as its environment,Some caterpillars use camouflage to look like,1,Anger,poop,love,Sarcastic
12-300,a battery is a source of electrical energy,which one of these would be needed to power up a torch light?,1,a hard wood chip,a set of AAA cells,a metal iron rod,a sachet of water
12-301,performing lab expiriments accurately requires understanding all directions beforehand,To get a lab experiment right you need to,1,use all dirty equipment,fully comprehend the instructions before starting,do the opposite of what you're supposed to do,"instead of measuring things, make guesses"
12-302,high means great in altitude,If one where to get high at Mt. Everest it would mean they are,3,arriving at airport,waiting for cabs,at the bottom,at the apex
12-303,the number of rings in a tree trunk can be used to estimate the age of the tree,"If a tree is being discussed and those talking want to know its age, they will",3,think about it,bury it,look at leaves,look inside it
12-304,force causes the speed of an object to increase,Igniting the shuttles boosters causes it to,2,explode,stop midair,accelerate,decelerate
12-305,the Earth contains many ecosystems,Our planet has multiple,3,moons,suns,orbits,environments
12-306,nerves can be used to feel heat and pressure on the skin,If your hand is being burned on a stove,3,you will feel cool,you will be chilled,your nervousness will disappear,your nerves will make you aware
12-308,An example of protecting the environment is creating protected areas,A person protecting the environment they have control over will most likely,0,block in their yard,salt their whole yard,burn trash in their yard,flood their whole yard
12-309,chlorophyll is used for absorbing light energy by plants,Plants use chlorophyll to,1,get rid of waste,absorb energy that the closest star provides,keep warm from thermal energy,absorb light colored food from the soil
12-310,usually plants store the food they produce for future use,What do plants do after they use their chlorophyll to make energy from sunlight?,2,use it right away,sell it to someone,save it for future use,give it to a friend
12-311,An example of migration is birds flying south in the winter,migration is when animals travel from the northern state such as north dakota to Texas during what segment of time?,3,lake fronts,birds,spring,winter
12-312,condensing causes a liquid to form,Which is the best example of condensation?,3,cats lick their fur,headphones fall into a puddle,hail falls from the sky,water forms on a frosty beverage
12-313,the Earth absorbs more energy than it loses,The Earth's energy creates,3,Happiness,Love,Anger,a magnetic creation
12-316,reproduction occurs during adulthood,"If a thing is procreating, then it is",3,under age,too old,young,aged enough
12-317,seconds are used to measure time,How many seconds would it most likely take to get to Mars?,0,4000000000000000000000 seconds,40 seconds,400 seconds,4 seconds
12-318,fruit contains seeds,A kumquat is more likely than a steak to have,1,fluid,seeds,fibers,skin
12-319,a rocket engine is used to produce thrust by pushing gases out at a high speed,"If an entity in intergalactic space has thrust placed upon it, what is the expected result?",0,it will start moving with acceleration,it will make a loud noise,spontaneously teleport a light year away,remain in the same location
12-320,having food has a positive impact on an organism 's health,Having food has a positive impact on the health of what?,3,organism charts,water,sunlight,critters
12-321,if a tree is located near a sidewalk then the roots of that tree might crack the sidewalk,The cracks in a sidewalk could be caused by,1,black holes,Pine,time travel,emotions
12-323,a greenhouse is used to protect plants by keeping them warm,"If plants are chilled in evening air,",3,put them in a fire pit,put them in a glass pile,put them in an igloo,put them in a glass building
12-324,if one mineral can scratch another mineral then that other mineral is softer than that one mineral,Which of the following relationships is true?,2,"Play-Doh can scratch diamond, therefore it is softer","Diamond can scratch Play-Doh, therefore Play-Doh is harder","Diamond can scratch Play-Doh, therefore diamond is harder","Play-Doh can scratch diamond, therefore it is harder"
12-325,if an animal takes a resource from another animal then that animal competes for resources successfully,Which is competition?,2,a giraffe eats the highest leaves,a bear takes a salmon from the stream,a shark eats a tuna that an orca was hunting,a slug eats a blade of grass
12-328,camouflage is used for hiding by animals against predators,"If a bird is avoiding detection by a cat simply by sitting still, it probably is also utilizing",1,eruptions,merging with background,flames,blending paint
12-329,if an object is blue then that object reflects only blue light,A reflector is used to reflect,3,light edibles,dirt,solar heat,sunbeams
12-330,"as the available water in an environment increases , the populations of organisms in that environment will increase","If a lake begins to overflow after swelling from a storm, species within that water source likely",0,propagate,stagnate,crash,stall
12-331,some lizards live in desert habitats,Which of the following would best describe why a lizard would live in a desert?,2,it can eat bugs and withstand very cold weather,it can eat fish and withstand very cold weather,it can eat bugs and withstand very hot weather,it can eat fish and withstand very cold weather
12-332,riding a bike does not cause pollution,"If pollution is caused by many things, it is least likely to be caused by",1,using styrofoam,pedaling forward,driving cars,smoking cigarettes
12-333,coral lives in the ocean,Marine invertebrates are likely to be discovered in,2,rushing streams,backyard ponds,clam filled waters,local pools
12-334,a plant requires sunlight to grow,What purpose does a plant light serve?,1,Comfort them,replicate sunlight,Protect from bugs,Keep plants warm
12-335,the moon is the celestial object that is closest to the Earth,How many revolutions does the moon make around the Earth during spring?,1,twelve,three,one,six
12-336,decomposer is a kind of role in an ecosystem,Decomposer is a kind of role in our,0,environment,play,home,army
12-337,an animal knows how to do instinctive behaviors when it is born,A badger is birthed with behaviors that are,2,learned,found,intuitive,useless
12-338,remora fish eat food by attaching themselves to sharks and eating the food left behind,Small fish can be safe swarming dangerous sharks when,1,they are hungry,they are symbiotic,they are starving,they are delicious
12-339,Earth 's magnetic patterns are used for finding locations by animals that migrate,A ship navigates with a magnetic compass because it is,0,predictable,unpredictable,waterproof,tradition
12-340,plant requires seed dispersal for reproduction,Which of the following substances likely contains plant seeds?,1,sweat,poop,urine,blood
12-341,cooking food to proper temperatures protects against food poisoning by killing bacteria and viruses,"If a pork chop is underdone, the likelihood of illness spreading to consumers of it is",2,low,nil,extreme,zero
12-342,an organism requires energy for growth,"If a thing is going to be able to expand, it will require",0,nutriment,pipes,flounder,conversation
12-344,runoff is when cropland water enters bodies of water,If a beach is below a farm it can make swimmers ill if,1,people go to the movies,field fluid drips down,humans enjoy eating meat,some cattle eat cheese
12-345,mice live in in holes in the ground in fields,An animal that often lives in holes in the ground in fields has,1,long curly hair,round ears,four wings,rainbow stripes
12-346,vibrating matter can produce sound,Which of the following relies on vibrating matter to work?,3,soda cans,dog food,baseball caps,violas
12-348,An example of a chemical change is acid breaking down substances,An example of a chemical change is,0,milk to yogurt,mixing marbles,my chemical romance,shredding paper
12-350,a beach ball contains gas,"if a beach ball explodes, which of these would be given off?",2,a flock of geese,a ton of sand,a release of air,a release of doves
12-351,a computer controls a robot,What is essential for a robot to possess to walk up a flight of stairs?,0,electricity,skittles,ethics,lava
12-352,if a living thing dies then that living thing is dead,"If you find an animal that isnt breathing, it is safe to assume that thing",2,watched TV,cried,perished,laughed
12-353,the moon 's surface contains highlands,The moon has,2,Narwhales,Fairies,dead volcanoes,Unicorns
12-354,pushing on the pedals of a bike cause that bike to move,"Actress and goddess Jessica Alba wishes to help the environment by riding a bicycle. Dressed in a tantalizingly suggestive outfit, she propels herself by",3,dark angel wings,burning rocket fuel,using paparazzi cameras,using foot levers
12-355,a new season occurs once per three months,"A boy hates summer with a burning passion, so luckily the longest he should ever have to endure the season is",0,twelve weeks,three years,nine months,two days
12-356,producer is a kind of role in the food chain process,"If a bird is pecking at a bush for food, the bush can also eat if",1,munches on some berries,it fulfills its role,orders something it likes,kills a small deer
12-357,plant cells can perform photosynthesis,Buttercups can produce,0,their own nutrients,grow in space,ride horses,enter singing competitions
12-359,"as the size of a flower increases , the number of pollinators it will attract increases","Big flowers have more nectar than small flowers do. Because of this, which flowers will get the most bees?",2,space cadet,smaller ones,bigger ones,dead ones
12-361,a phase change is when matter changes from one state into another state,A reflective surface fogging up is,3,reflection,refraction,evaporation,condensation
12-363,all animals breathe,Inhaling O2 is a requirement of all,1,buried animals,living animals,stuffed animals,rocks
12-364,An example of combining two substances is pouring one substance into the other substance,"If substances are combined by pouring them together, they'll mix, such as",2,salt and oyster crackers,lettuce and roma tomato,coffee and hazelnut cream,whole milk and cheese
12-365,a pulley is used to lift a flag on a flagpole,If a flag is adjusted at great heights,0,something is pulled,something is ravaged,something is burned,something is gold
12-366,beads of water are formed by water vapor condensing,"Where would you point to as an example of condensation, if limited to an office building?",0,the beads on a cold root beer can,the pens leaking ink,the vapor rising from the coffee,the sprinkler system above
12-367,if weather is stormy then there is a greater chance of rain,Which of the following is likely to be true?,3,thunder and lightning indicate that there will be acid rain,wind indicates a chance of rain,fire indicates that there will be rain,thunder and lightning indicate a great chance of rain
12-368,an ecosystem contains large numbers of living organisms in a particular place,Ecosystems,1,are made up of many plants and lack living animals,are communities with a plethora of living beings,only contain animals of the same species,are present only on certain continents
12-370,"as the supply of food in an environment decreases , the population of animals in that environment will decrease","The more often wildfires take place on a space of land, the more often we will see",0,animal groups in decline,animal populations growing larger,more birds moving in,larger deer starting families
12-371,sugars are transported from the leaves to the roots of a plant,"During photosynthesis, plants produce sugar that may help with their what?",3,Babies,Love Handles,Belly,sustenance
12-373,the thickness of the parts of an organism is an inherited characteristic,"If a bear has thick legs fur, then",3,her mom was very old,his hair is blonde,her arms are wide,his ancestors had the same
12-375,raccoons eat waste,Which of these things would cause more racoons to hang out nearby?,2,shooting them as they come,cutting their hair at night,leaving lids off garbage cans,putting garbage cans inside the garage
12-377,a compass 's needle lines up with Earth 's magnetic poles,If Earth has poles that are magnetic,3,needles will glow in the dark because of them,needles will stab them,some poles will be radioactive,needles aim that way
12-379,crop rotation renews soil,"If peas and carrots are planted alternately,",1,fields are useless,dirt is refreshed,sand is dried,water is poisoned
12-380,consumers eat other organisms,Consumers eat other what?,3,oxygen,animal toys,rays,weaker bugs
12-381,farming changes the environment,A yard can become a changed environment when,3,crows show up,humans see it,worms live there,vegetables are farmed
12-382,natural gas is a source of heat by burning,You can produce what by burning natural gas?,1,snow,a warmer room,oxygen,water
12-383,break down means change from a whole into pieces,Chewying and swallowing a steak,1,serves it hot,breaks it down,losses energy,dies
12-386,new land can be formed by volcanoes erupting by lava cooling,What is the source of cooling that turns lava into land?,0,seawater,refrigerators,air conditioning,glaciers
12-388,smoking causes direct damage to the lungs,Smoking can also effect what besides themselves,2,wizards,space,Jonny and Susie,unicorns
12-389,wind causes erosion,Erosion can,2,Give me a hair cut,Create a beautiful painting,turn a statue to dust,Clean my car windows
12-391,tearing means changing a whole into pieces,Which is likeliest to be torn by a small child,0,foil,wood,steel,oil
12-392,decomposition increases amount of organic matter in soil,Organic mass is gained in the earth by insect,2,JDZ clones,mushroom farmers,garbage eaters,trash removers
12-394,sound can travel through air,one's ability to hear their name being called across the room indicates the presence of,2,gas in the stove,water in the walls,atmosphere in the space,water in the ears
12-396,skidding causes speed to decrease,which of these could result in a person reaching their destination late?,2,a clear road path,a dry clear road,a road full of ice,a road without hills
12-397,water is a renewable resource,A resource that can be endlessly retrieved is,3,knobs,bricks,panels,droplets
12-398,a salamander eats insects,To keep a pet salamander healthy what would come in handy?,0,live house flies,a dog,plant fertilizer,snakes
12-399,gravity causes orbits,An unseen force tugs at celestial bodies giving them,2,shape,luster,a trajectory,color
12-400,predators eat prey,Catfish are what,0,cannibals,fairies,grapes,unicorns
12-401,gravitational force causes objects that have mass to be pulled down on a planet,"If a pull is strong somewhere, it likely has",1,snakes,magnitude,water,frames
12-403,"when a cooler object touches a warmer object , thermal conduction occurs",A tongue can adhere to metal if what occurs?,3,condensation,self-stimulation,evaporation,conduction
12-404,magnetism does not require contact between objects to act,Neodymium can hold a car without being in it's,0,proximity,relocation services,talking,seeing each other
12-405,the mantle is a layer of the Earth,"A portion of the earth, and other planets is a layer which is composed of",3,large limestone bunkers,thick stone piles,mostly solid clay,silicate rocky shell
12-406,cutting down trees in a forest causes the number of trees to decrease in that forest,If we cut down trees from the rainforest what will suffer more?,3,Buildings,Cars,Space,Cats
12-407,"as the number of eggs laid by an animal increases , the number of eggs that hatch will increase","If a duck lays seven eggs and last year they laid zero eggs, this year they are",1,male,increasing young,producing zero,producing live young
12-408,a stem is a source of support for a plant,The tree trunk is what holds up the,3,sky,roots,sky,leaves
12-411,planting trees has a positive impact on an ecosystem,"If an oak seed is placed in a compost pile in a garden, the garden's ecosystem will",3,be negatively disrupted forever,be made much worse,be altered in damaging ways,adjust in positive ways
12-412,humans changing animal habitats usually causes harm to those animals,A person can bring harm to an animal habitat by,2,avoiding it,leaving it alone,building in it,ignoring it
12-415,if an object is kicked then force is exerted on that object,A foot uses force on spheres in,1,baseball,kickball,golf,hockey
12-416,landfills have a negative impact on the environment,Which is a positive impact on the bio environment?,3,dumping toxic waste in rivers,contaminating the ground with poison,building cars in large numbers,making sure trash is reused for new reasons
12-417,classifying is when one sorts something by type,Classes and categories are both part of,3,distraction,confusion,control,designating
12-418,if an object undergoes chemical change then that object will have new chemical properties,"If a thing changes through a chemical process, it will have different and new chemical properties, such as",2,adding cats to a home,adding cream to tile,adding lemon juice to milk,adding salt to sand
12-419,water vapor cooling causes that water vapor to condense,If steam chills then the vapor will,3,burn,melt,boil,thicken
12-421,one day is equal to 24 hours,"If a day has passed, so has",1,most of a month,most of thirty hours,most of a week,most of a year
12-422,DNA is a vehicle for passing inherited characteristics from parent to offspring,A child will share a physical trait such as this with parents due to DNA:,2,hair length,vacation days,nose shape,pet preference
12-425,if a habitat is removed then that habitat is destroyed,a bird builds a nest in a tree before the forest was lumbered down. Which of these is a result?,2,the bird gets a bigger home,the bird gains more space,the bird loses its home,the bird is happy
12-426,electrical devices convert electricity into other forms of energy,"if a television stayed on for a prolonged period, what kind of energy might be a byproduct?",1,it will produce hydroponic energy,it will produce warmth,it will produce kinetic energy,it will produce hydro energy
12-428,summer is when a hemisphere is tilted towards the sun,If an island is experiencing a hot summer it is because,1,of the water,of the axis,of the shade,of glaciers
12-429,fat is used to keep animals warm,This keeps animals warm but it is possible to have too much,1,comfort,body fat,shelter,protection
12-432,living things all require energy for survival,Why does a wolf eat rabbits?,1,to show rabbits they should stay away,to get the energy it needs to survive,because it hates rabbits,to show other wolves it is strong
12-433,a seed is used for storing food for a new plant,A peach pit holds the beginning,0,nutrients,high school students,water,pocket change
12-434,a windmill converts wind energy into electricity,Wind energy is,2,unreal,careless,re-useable,noneffective
12-435,sand dunes are made of sand,The mounds at the beach are made of,2,heavily buttered bagels,sauteed mushrooms,silica,high school students
12-437,a light bulb converts electrical energy into light energy when it is turned on,An example of electrical energy is,1,air,audio speakers,candles,grass
12-438,"when a hurricane moves over land , that hurricane will decrease in strength",When a hurricane glides over a continent it,3,runs for president,becomes an earthquake,increases in strength,decreases in strength
12-441,sediment is formed by weathering,Weathering can,2,release a best selling album,create a black hole in the desert,turn a sculpture to dust,create a time traveling vortex
12-442,melting point means temperature at which a solid melts,What happens when molten lava comes into contact with a car?,2,it freezes into a solid,it turns into a gas,it reaches its melting point,it flies up into the sky
12-443,temperature changing can cause phase changes,The temperature changing may produce,0,daisies,black holes,magic,time travel
12-444,an landfill is a source of pollution,A pollution source in a county may be,3,compost pile,grass seeds,recycling center,trash heap
12-445,metal is an electrical energy conductor,"if a person gets a shock from a faulty system, which of these surfaces were likely touched?",1,a paper lined surface,a steel lined one,a wood lined one,a cotton line surface
12-448,In the food chain process some types of plankton have the role of producer,Plankton can be the food as well as the creator of,2,water,magic,nourishment,alcohol
12-451,humans cause pollution,Most of the pollutants in the air and in our world are there due to,2,wolves attacking deer,dolphins under water,man made reasons,naturally occurring reasons
12-452,an animal being born when food is available has a positive impact on that animal 's health,Beavers producing offspring after Winter impacts their life,3,neutrally,negatively,very little,positively
12-453,An example of seed dispersal is is an animal gathering seeds,Hummingbirds contribute to seed dispersal by,0,consuming flower sustenance,eating pizza,swimming in bleach,going to space
12-455,humans sometimes eat seeds,A person can eat a seed if they are consuming raw,3,soup,elk,fish,duku
12-456,specialized tissues at the ends of plant stems are used for growing taller by plants,Undifferentiated cells in plants allow it to grow,1,in clouds,taller,without sunlight,without water
12-457,An example of navigation is directing a boat,If a person is navigating then they are most likely,1,sitting indoors,holding a wheel,reading a book,laying in bed
12-458,painting an object a color causes that object to be that color,"if a person needed two objects to be more alike in appearance, they could",2,burn both objects in fire,dip both objects in water,apply identical layers of pigmentation,destroy both the objects
12-459,humans changing an environment sometimes causes that environment to be destroyed,The building of a hotel caused many species to be,3,acclimated,celebrated,hunted,destroyed
12-460,dissolving a substance in water causes the water to taste like that substance,dissolving sugar in water will cause it to,3,turn bitter,evaporate faster,slightly warm,become sweet
12-462,an animal needs to eat food for nutrients,"Animals eat food for the taste but also because without it, they would",3,Smile,TV,Shoes,expire
12-463,grey clouds are a source of precipitation,A sky that is mostly this color will likely be precipitating:,3,yellow,gold,blue,gray
12-464,a shower is a source of hot water for washing,Who is likeliest to overuse hot water?,3,a rabbit,a squirrel,a bird,the Johnson family
12-465,the heart is mostly made of muscle,The organ most made of muscle is the,0,one pumping blood,brain,liver,kidney
12-466,a Rotation of the Earth on itself takes one day,As our globe makes a complete quick cycle it can and does see the passage of,0,multiple hours,eons,several years,decades
12-467,hawks eat lizards,Hawks eat,3,eggs,eagles,dogs,geckos
12-468,a seismograph is a kind of tool for measuring the size of an earthquake,A seismograph will be able to tell how much which thing is quivering?,1,bird,bunker,lemonade,jello
12-469,"as temperature during the day increases , the temperature in an environment will increase",Ice might be formed by,0,upper hemisphere,a flowing river,a temperature higher,hot reaction
12-470,if a hot substance is touches a cold object then that substance will likely cool,"If a warm potato is left on a steel sink, the potato will",1,burn,lose heat,get hotter,warm up
12-471,matter in the liquid state drips,A faucet drips,3,lava,air,sand,melted ice
12-472,mountains are formed by volcanoes,A large thing that spews out destructive materials can,3,make babies,eat sandwiches,level planets,create towering hills
12-474,biofuel releases carbon dioxide into the atmosphere,Which of the following statements is true,0,biofuel releases CO2 but is better than oil,biofuel is without flaws,biofuel can single-handedly end CO2 production,biofuel is perfect for the environment
12-476,precipitation is when water falls from the sky,Water molecules descending from a high elevation in liquid form are known as,3,brimstone,fire,hail,rainfall
12-477,herbivores only eat plants,"If a cow eats only plants, it will avoid eating",3,hay,roots,thistles,venison
12-478,rocks often contain large amounts of metal,You can find ferrous metals in,2,Glass,Grass,Vehicle scraps,Wood
12-479,bad weather decreases visibility while driving,"In addition to a slippery road, blizzards can be dangerous to drive in because",0,you may only see a car in front of you when it's too late,snow might break your windshield,a lot of deer like to travel during blizzards,a tornado is likely to pick up your car
12-481,if a weed is pulled then that weed is destroyed,"If you mow over a weed, it will just grow back. Pulling them by the root will make them",1,cry,perish,eat,laugh
12-482,musical instruments make sound when they are played,What might make a more musical sound,2,a bug,electrocution,a chopstick,space
12-483,a candle is a source of light when it is burned,A way to illuminate a dark study is to,1,spread a good idea,introduce a spark to a wick,open a small box,put a book down
12-484,a force continually acting on an object in the same direction that the object is moving can cause that object 's speed to increase in a forward motion,A tugboat maneuvers a ship  to help,3,watch for sharks,load passengers,hold their anchor,increase their speed
12-485,birds sometimes eat insects,"If an apple tree wanted to spread it's seeds via another entity, it would",2,plant trees,feed birds,attract birds,drop seeds
12-486,recycling resources has a positive impact on the environment,Keeping shopping bags out of the dump affects the earth,1,neutrally,positively,negatively,very little
12-487,bluebirds live in grassy spaces,Bluebirds have a strong sense of what?,2,Magic,Imagination,Family,Justice
12-488,if two equal forces in opposite directions act on an object then that object will stay in the same place,Tom and Bill were both pushing on a large plastic ball but it stayed in one place. Why?,2,the ball was being stubborn,the ball was large and made of iron,they were pushing from opposite sides using the same muscle power,the ball was 2 miles across
12-490,rocks are a source of shelter for small animals in an environment,Small animals will leave their habitat and look for new shelter when there is a,2,less animals around,too much food,destruction,better food
12-491,the amount of daylight is greatest in the summer,When would the days be the longest 1000 miles north of the equator?,2,the same time that the nights are the longest,in the month of March,6 months after Christmas,in the fall season
12-493,a decrease in visibility while driving can cause people to crash their car,"Rain storms and blizzards can be very dangerous to drive in due to the amount of precipitation they produce, which will do what to the roads visibility?",0,make it worse,Make it tasty,make it better,make it hot
12-494,"when a habitat can support living things , living things can live in that habitat","if a place has clean air, food, water and safe shelter for an animal, what would happen?",1,the species would have to emigrate,the species would thrive,the species would die off,that animal type would be depleted
12-495,some flowers become fruits,which one of these items might have been a flower at some point?,2,a quartz stone in a ring,a bowl of chicken soup,an apple in the fridge,a piece of cake
12-496,female birds sit in nests,A baby chick hatches and recognizes the mother bird above it from,2,the worms it ate,the birds it discovered,the warmth it provided,the leaves it saw
12-501,a squid produces thrust by pushing water out of its body,"In saltwater, a squid's method of locomotion results in water being",3,pushed in front of it,sung about by Jethro Tull,displaced in the Great Lakes,displaced directly behind it
12-503,nature is the source of natural resources,"Natural resources come from nature, so if humans are reckless when working with nature, the amount of resources will",0,go down,laugh,go up,fly away
12-504,microscope is used to see small things by making them appear bigger,Tiny nits may be seen best when using a,0,vision enhancing aid,series of mirrors,toothpick,glass eye
12-506,"when electricity flows to a light bulb , the light bulb will come on",Toggling a light switch on,0,completes a circuit,makes black holes,opens a circuit,breeds contempt
12-508,a mirror is used for reflecting light,"If a light needs to be relocated to another room without leaving that room physically, a person could",3,turn off all lights,throw it in the yard,get a new lamp,redirect it with reflections
12-509,explosions can cause harm to an organism,Which is most harmful to a human?,0,dynamite going off,reading email,balloons popping,opening a soda
12-510,sugar causes food to taste sweet,Cake tastes sweet because of,1,sweet and low,sucrose,flour,honey
12-511,lack of food causes starvation,"If a puppy is given only water for a very long time, it will",0,starve,need to hydrate,dehydrate,be thirsty
12-512,rain is a source of water,"if a cloud deposits its contents to the earth, which of these may be true?",3,the moon will shine brighter,the open fair will be a success,the river will dry up,the farmers would rejoice
12-515,sound can be used for communication by animals,Two birds in completely different houses can discuss something by,2,sitting,thinking,vocalizing,sleeping
12-516,Louis Pasteur invented pasteurization,Which beverage can you thank Louis Pasteur for making possible?,3,iced tea,water,ginger ale,strawberry milk
12-517,the crust is a layer of the Earth,A crust is a portion of,1,a shoe,a world,a cat,a knife
12-521,drought may cause wildfires,"Wildfires are exacerbated in part due to dangerously low moisture content in light fuels, commonly brought on by",0,periods of less than usual precipitation,torrential rains across the plains,too many firefighters with McLeods and Pulaskis,high moisture content on incident commanders' heads
12-522,safety goggles are used for protecting the eyes during experiments,A person who is trying something out for the first time that will have unpredictable reactions will,1,want zero protection,want safety goggles,want naked skin,want bare hands
12-524,magnetic attraction pulls two objects together,Which is likely true?,0,two negatively charged iron ingots pull together,two negatively charged lemons pull together,two negatively charged rats pull together,two negatively charged dogs pull together
12-526,a living thing requires nutrients to grow,Which likely sustains a bamboo shoot?,2,darkness,bees,nutrients,pandas
12-530,pluto has not cleared its orbit,Which is considered least important in the solar system?,1,Earth,Pluto,Mars,the Sun
12-531,An example of an instinctive behavior is a baby bird pecking at its shell to hatch,An example of an instinctive behavior is,3,doing a cartwheel outside,singing on a stage,eating a large pizza,a mother feeding the kids
12-532,planting native plants has a positive impact on an ecosystem,Which is the best thing to do for a neighborhood?,0,growing local daffodils and weeding,spreading trash and garbage,planting fast spreading plants,introducing a new species
12-533,a human can pedal a bicycle,A person wanting to learn something new when they are very young will often try,3,running with the bulls,skydiving from a plane,swimming with great white sharks,rotating feet on pedals
12-535,"as the amount of water in a body of water increases , the water levels will increase",A boy is playing with his toy boat in his wading pool. His mother comes along and sprays more water into the pool.,3,the boat flies,the boat swims,the boat drowns,the boat rises
12-537,seeing is used for sensing visual things,A seeing eye dog is able to do this better than his master:,3,open a door,speak out loud,talk to friends,observe visually
12-538,the number of body parts of an organism is an inherited characteristic,A boy that has two legs and two arms has parents that have,1,nearly an arm and a leg,the same number limbs,their left arms only,one right leg each
12-540,animals learn some behaviors from watching their parents,What is a learned behavior?,3,a child eating,a child's sight,a child's hearing,a child swearing
12-541,digestion is when stomach acid breaks down food,Digestion is when stomach acid breaks down,0,a pizza,a house,a rock,a car
12-543,carnivores only eat animals,Who would refrain from eating a salad?,2,horses,cows,wolves,rabbits
12-544,"as the size of a leaf increases , the amount of sunlight absorbed by that leaf will increase","If a plant's extended portion is larger, it will",0,soak up more light,put out less pollen,be wilting very soon,fold in on itself
12-545,decomposition is when a decomposer breaks down dead organisms,A small pile of worms can do what to a yard of dirt with dead squirrels in it?,2,blow it up,make it glisten,pull it apart,set it ablaze
12-546,if some nutrients are in the soil then those nutrients are in the food chain,the availability of soil nutrients in the food chain can be explained by which of these?,1,the soil emanates nutrients into the air,the primary producers depend on the soil,all living things eat sand,the water we drink is from the soil
12-547,the condition of the parts of an organism are acquired characteristics,"The desert rat has evolved traits that help it live with low supplies of water, what is this an example of?",1,acquired heuristics,acquired characteristics,acquired interests,acquired statistics
12-548,melting is when solids are heated above their melting point,I can see melting occur when,1,cleaning the bathroom,I bake macaroni,I run around,sewing a dress
12-550,rabbits eat plants,a typical rabbit diet includes,3,crickets,mice,fish,weeds
12-551,the moon orbiting the Earth approximately occurs 13 times per year,How many full moons are there each month,3,"1,000",twenty,100,less than two
12-553,ferrous metals contain iron,Which would be the worst to wear out in a thunderstorm,2,a large pair of rubber shoes,a medallion made of plastic products,a medallion made of ferrous metals,a medallion made of crystal
12-554,xylem transports materials through the plant,The xylem absorbs water which end of a plant,0,bottom,top,left side,right side
12-558,living things require water for survival,All things which are alive will require this at some point or at many points during its existence:,1,coats,droplets,sand,bugs
12-561,objects made of glass cause refraction of light,Which would likely cause refraction?,1,lego bricks,car windshields,paper,lemons
12-562,an oven is a source of heat,If you're suffering from hypothermia it would help to get close to,3,an air conditioner,a boat,a mountain,an oven
12-563,if all members of a species cannot produce offspring then that species will likely become extinct,"If all potato bugs are infertile, they will likely",3,make efforts to starve,breed with some cats,be very sad about it,cease populating the earth
12-566,shivering is when an animal creates heat by shaking to keep the body warm,running turns carbohydrates into,2,fat,protein,motion and heat,sweat
12-568,plants are a source of fibers,A way to ingest more fiber for a bear is to,3,eat meat,consume fish,devour water,masticate leaves
12-574,usually plants die or become dormant during the winter,"Your mom's garden she worked hard on in the Spring will eventually lose its green in the Winter because flowers need certain temperatures to survive. In the winter, they will all",3,fly away,cry,run,perish
12-575,poisonous darts are used for defense by sea anemones,Some species of sea anemones may be highly toxic to whom?,0,Sarah,Metal,Cars,Wood
12-577,eagles eat rabbits,What one animal commonly associated with America and is the animal on a one dollar bill would eat the long eared animal on a cartoon commonly eating a carrot and saying What's up doc??,2,Jackal,Wolf,Eagle,Bear
12-578,"when a plant grows , the number of the leaves of that plant may increase","as an evergreen matures and grows, it's leaves tend to",0,increase in number,change color,shed,shrink
12-579,precipitation is when hail fall from clouds to the ground,"Something is coming out of clouds on a dark day, so it is likely",2,birds,dust,precipitation,angels
12-582,A bird is a pollinating animal,Which is likely to spread seed?,3,a car,a sun beam,a whale,a hummingbird
12-583,seed dispersal has a positive impact on a plant,Birds carrying away fruit has what kind of impact on the plant,0,positive,negative,very low,neutral
12-584,the Earth rotating on its axis causes stars to appear to move across the sky at night,Jeff noticed that the big dipper was in a different spot in the sky at 2am than where it was at 10pm. Why?,3,because of the earth's orbit,the stars had rotated,Jeff had been instantly transported thousands of miles from where he'd been at 10pm.,the earth had turned
12-586,a toaster converts electrical energy into heat energy for toasting,"If rye bread is browned in a device, it uses mainly",3,electrical energy,water energy,solar energy,heat energy
12-587,coloration is used to find a mate by some animals,Which of these helps some animals find mates by color?,2,hearing,smell,eyesight,nose
12-588,an electromagnet contains cylindrical ferrous metal,Where would you find a tool containing cylindrical ferrous material?,2,at the pyramids,in the desert,at a junkyard,in the jungle
12-589,exercise has a positive impact on a human 's health,Who would be healthier?,0,a sleeper,an party animal,insomniac,a workaholic
